"id","time_stamp","phase","time","accX","accY","accZ","accX_V","accY_V","accZ_V","gyroX","gyroY","gyroZ","gravX","gravY","gravZ","magX","magY","magZ"
"50753","1588834403388","-1","266548621","-1.10607","3.11712","8.54933","0.00145621","0.0459358","0.00205022","0","0","0","0","0","0","0","0","0"
"50753","1588834403436","-1","266548721","-0.629648","1.80994","8.17345","0.0197737","0.441149","0.0661087","-1.0612","-0.73551","0.0520285","-1.01018","3.43832","9.12841","2.90962","-15.7941","-39.0774"
"50753","1588834403533","-1","266548820","-0.289686","1.26169","10.4167","0.198804","1.01054","0.482726","-0.827846","-0.317067","0.486964","-0.209809","1.49425","9.68987","-0.818466","-10.6491","-40.7525"
"50753","1588834403633","-1","266548920","-1.80036","1.43407","9.30586","0.180984","0.697995","0.788239","-0.716058","1.88815","0.33547","-0.959582","0.983878","9.70987","0.276962","-6.46894","-43.0254"
"50753","1588834403733","-1","266549020","-1.65911","2.02541","8.24528","0.677721","1.0473","0.691953","-0.192546","0.974911","1.17297","-2.61288","0.59145","9.43363","8.55803","-4.04613","-41.1051"
"50753","1588834403833","-1","266549119","-4.32614","0.900181","12.4182","1.82868","1.17232","0.984906","-2.107","-0.956032","-0.454989","-2.81637","-0.0581299","9.39335","11.2228","0.154465","-41.5168"
"50753","1588834403932","-1","266549219","-1.20663","-1.51068","9.91875","1.70382","1.92678","3.66009","1.15624","-1.10142","-0.222861","-1.51042","-0.557319","9.67359","3.91972","4.60347","-41.0577"
"50753","1588834404033","-1","266549319","0.749353","-0.172375","8.85577","1.91153","1.95947","3.28552","0.586306","-0.0379023","-0.334038","-0.282305","0.448808","9.79231","0.307266","-0.451538","-42.2021"
"50753","1588834404133","-1","266549418","-1.02946","-0.742171","10.1031","1.80148","1.95257","3.14618","-0.0526584","-0.0904366","0.119224","-0.237601","0.267952","9.80011","-1.25545","-0.602135","-42.8297"
"50753","1588834404233","-1","266549518","0.363903","0.914546","7.71857","1.72878","1.82361","2.85698","0.89296","-2.86354e-05","0.650676","-0.0120384","0.872528","9.76775","-0.953934","-2.97754","-42.8483"
"50753","1588834404333","-1","266549618","1.60883","1.84106","8.14951","1.95071","1.69463","2.91146","0.0615733","-0.562024","0.205966","0.639193","1.41074","9.68358","-4.86128","-6.20433","-42.4353"
"50753","1588834404432","-1","266549719","1.38139","1.87697","11.53","2.36226","1.61621","3.15029","0.286982","0.228435","0.0746305","0.860276","1.28077","9.68452","-6.25252","-5.63853","-40.8951"
"50753","1588834404532","-1","266549818","0.349538","1.09889","10.7184","2.49133","1.49607","2.92057","0.517889","-0.934652","0.176034","1.25821","1.5807","9.59628","-7.50774","-6.76654","-41.5293"
"50753","1588834404632","-1","266549918","1.67108","1.27366","9.69371","2.65402","1.39056","2.74685","0.148927","0.0622796","-0.0628141","1.66311","1.75422","9.50406","-10.9409","-7.61974","-41.7106"
"50753","1588834404732","-1","266550019","1.45082","1.54419","10.0193","2.74279","1.32259","2.58045","0.303476","0.496604","-0.115959","1.66656","2.04897","9.44429","-10.6238","-8.02834","-40.4776"
"50753","1588834404833","-1","266550119","1.3407","1.9464","8.91084","2.83072","1.13219","2.49795","-0.190714","0.087325","-0.0591489","1.34221","2.08521","9.48793","-5.48528","-8.84853","-40.6095"
"50753","1588834404932","-1","266550219","1.3","1.64475","9.58836","2.95382","1.1399","2.38684","-0.318995","0.297462","0.0831826","1.38767","1.88054","9.52409","-8.60138","-8.44233","-40.7783"
"50753","1588834405033","-1","266550318","1.13959","1.17071","10.8716","3.03118","1.13843","2.41744","0.119605","0.533256","0.153432","1.15303","1.54242","9.61571","-6.73149","-7.04553","-41.8359"
"50753","1588834405133","-1","266550418","1.19944","1.81473","9.30347","2.68301","1.09901","2.42276","0.130601","0.252259","0.0868478","1.05172","1.78743","9.58485","-7.82663","-8.44533","-41.5455"
"50753","1588834405233","-1","266550518","0.861876","1.46758","9.82778","1.95935","0.914507","2.2803","-0.0404412","0.208276","0.054472","0.906747","1.73393","9.60946","-6.41138","-8.00613","-39.6816"
"50753","1588834405351","-1","266550617","0.751747","1.65911","9.64104","0.761983","0.732109","1.10202","-0.0147848","-0.0403457","-0.0267731","0.890491","1.78011","9.60253","-4.85738","-8.84013","-39.8342"
"50753","1588834405431","-1","266550717","0.936093","1.50349","9.76074","0.575079","0.470781","1.01584","-0.0117305","0.0347907","0.00804623","0.897839","1.7299","9.61102","-6.25583","-7.86694","-39.8339"
"50753","1588834405533","-1","266550817","0.892999","1.73093","9.47345","0.468512","0.335937","0.888215","0.0359169","0.024406","-0.00722538","0.813489","1.74641","9.61554","-5.16638","-7.16973","-40.5933"
"50753","1588834405630","-1","266550916","0.83554","1.62559","9.23643","0.224808","0.104476","0.866439","-0.0813691","-0.00247209","-0.0738096","0.790079","1.72539","9.62129","-6.10777","-8.43273","-40.7639"
"50753","1588834405730","-1","266551016","0.988763","1.38858","9.31065","0.177426","0.0719447","0.679974","-0.137569","-0.0702781","-0.0933573","0.802766","1.63087","9.63671","-5.31953","-6.74974","-40.4362"
"50753","1588834405830","-1","266551116","0.632042","1.3407","9.65301","0.188174","0.0740501","0.586181","-0.0752604","0.0848816","0.00560277","0.703334","1.44822","9.67359","-3.76402","-7.85974","-40.1281"
"50753","1588834405929","-1","266551216","0.58416","1.37182","9.90917","0.180907","0.0694855","0.229777","0.15809","0.0854924","0.08135","0.688855","1.47049","9.67127","-4.54749","-7.17333","-41.3615"
"50753","1588834406031","-1","266551317","0.380662","1.57771","9.43275","0.159413","0.0423585","0.177849","0.0615733","0.231489","0.0599697","0.466756","1.57186","9.6686","-1.74368","-7.72054","-41.1957"
"50753","1588834406132","-1","266551416","0.363903","1.49871","9.44951","0.125229","0.0385187","0.162012","-0.142456","-0.0739433","-0.0817509","0.387716","1.60753","9.66623","-3.30879","-8.43033","-41.8281"
"50753","1588834406229","-1","266551516","0.354327","1.3383","9.91157","0.130407","0.0379537","0.13728","-0.0599888","0.0292929","-0.00783625","0.373236","1.45088","9.69154","-0.963837","-5.90973","-42.4104"
"50753","1588834406330","-1","266551617","0.277715","1.3383","9.7368","0.118251","0.029286","0.114352","0.0108715","0.0121887","0.0196527","0.336177","1.41189","9.69866","-1.12238","-6.74794","-42.2642"
"50753","1588834406432","-1","266551717","0.373479","1.37661","9.25798","0.0928006","0.0279524","0.102597","0.0261431","-0.052563","0.0239287","0.363951","1.41939","9.69656","-2.67339","-5.21493","-42.1056"
"50753","1588834406529","-1","266551816","0.351933","1.20902","9.75595","0.076736","0.0294636","0.0476324","0.0511886","0.10504","0.0165983","0.395328","1.41688","9.6957","-1.43738","-6.05854","-43.3404"
"50753","1588834406630","-1","266551916","0.335174","1.36942","9.77271","0.0641085","0.026116","0.0375874","-0.00378927","-0.00491555","0.0184309","0.351228","1.42965","9.69552","-2.05148","-6.18753","-41.6474"
"50753","1588834406728","-1","266552016","0.308839","1.38139","9.5357","0.0619857","0.0260944","0.0371223","0.0866187","0.0299037","0.0337026","0.299591","1.45147","9.69401","-3.29108","-5.76574","-40.7249"
"50753","1588834406829","-1","266552115","0.430938","1.51546","9.43036","0.0604358","0.0230352","0.0379407","0.0408039","0.0274603","0.00926796","0.259592","1.52721","9.68352","-0.503784","-6.19593","-43.4906"
"50753","1588834406928","-1","266552215","0.18674","1.46519","9.5357","0.05269","0.0221969","0.037202","-0.0166174","0.0628904","0.0104897","0.245007","1.5358","9.68255","-2.06139","-7.86874","-42.1248"
"50753","1588834407028","-1","266552315","0.265745","1.36224","9.83975","0.0484444","0.0164957","0.0372924","0.0224779","0.00302569","-0.0035602","0.219717","1.5057","9.68788","-1.58842","-6.60873","-42.1113"
"50753","1588834407127","-1","266552415","0.227439","1.49392","9.51894","0.0385061","0.0115401","0.0316504","0.0316409","0.000582229","-0.00478193","0.193432","1.52363","9.68564","-2.05569","-7.16613","-41.6557"
"50753","1588834407227","-1","266552514","0.0933698","1.4197","9.4926","0.0254663","0.0103782","0.027802","-0.0282239","0.0952663","0.0355351","0.163","1.51861","9.68698","-2.21033","-6.05313","-42.2645"
"50753","1588834407328","-1","266552614","-0.158011","1.45801","10.0768","0.0229277","0.0106145","0.0374462","-0.294561","0.460563","-0.149557","0.0533867","1.42183","9.70288","-1.74278","-6.05133","-42.2617"
